 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0001 0030 000c ffc6 ffa0 ffb8 0000 14e5 -S-- 0118:8d46e8       lea ax, [bp-18] ;[ffa0]0000
ffa0 0030 000c ffc6 ffa0 ffb8 0000 14e5 -S-- 011b:50           push ax
ffa0 0030 000c ffc6 ff9e ffb8 0000 14e5 -S-- 011c:b80400       mov ax, 0004
0004 0030 000c ffc6 ff9e ffb8 0000 14e5 -S-- 011f:50           push ax
0004 0030 000c ffc6 ff9c ffb8 0000 14e5 -S-- 0120:b80100       mov ax, 0001
0001 0030 000c ffc6 ff9c ffb8 0000 14e5 -S-- 0123:50           push ax
0001 0030 000c ffc6 ff9a ffb8 0000 14e5 -S-- 0124:e80600       call 012d
0001 0030 000c ffc6 ff98 ffb8 0000 14e5 -S-- 012d:55           push bp
0001 0030 000c ffc6 ff96 ffb8 0000 14e5 -S-- 012e:89e5         mov bp, sp
0001 0030 000c ffc6 ff96 ff96 0000 14e5 -S-- 0130:56           push si
0001 0030 000c ffc6 ff94 ff96 0000 14e5 -S-- 0131:57           push di
0001 0030 000c ffc6 ff92 ff96 0000 14e5 -S-- 0132:8b7608       mov si, [bp+8] ;[ff9e]ffa0
0001 0030 000c ffc6 ff92 ff96 ffa0 14e5 -S-- 0135:8b5606       mov dx, [bp+6] ;[ff9c]0004
0001 0030 000c 0004 ff92 ff96 ffa0 14e5 -S-- 0138:895402       mov [si+2], dx ;[ffa2]0001
0001 0030 000c 0004 ff92 ff96 ffa0 14e5 -S-- 013b:56           push si
0001 0030 000c 0004 ff90 ff96 ffa0 14e5 -S-- 013c:ff7604       push [bp+4] ;[ff9a]0001
0001 0030 000c 0004 ff8e ff96 ffa0 14e5 -S-- 013f:e82f00       call 0171
0001 0030 000c 0004 ff8c ff96 ffa0 14e5 -S-- 0171:b90300       mov cx, 0003
0001 0030 0003 0004 ff8c ff96 ffa0 14e5 -S-- 0174:eb00         jmp short 0176
0001 0030 0003 0004 ff8c ff96 ffa0 14e5 -S-- 0176:55           push bp
0001 0030 0003 0004 ff8a ff96 ffa0 14e5 -S-- 0177:89e5         mov bp, sp
